application_type,expected_users_per_day,concurrent_users,storage_required_gb,deployment_region,required_vcpu,required_ram_gb,cloud_provider_reference,reference_vm_type,price_per_hour,traffic_pattern,monthly_cost
Streaming,475420,10770,2340,us-east,16,32,Azure,F4s_v2,0.1696,High,122.11
ERP,90157,1446,450,us-west,4,8,GCP,n2-standard-4,0.1889,High,136.01
Healthcare,82002,278,241,us-west,4,8,AWS,m5.xlarge,0.1951,High,140.47
ERP,58031,1920,189,us-west,4,8,AWS,m5.xlarge,0.197,High,141.84
Banking,156259,2322,442,asia-south,8,16,AWS,c5.2xlarge,0.3351,High,241.27
ERP,75043,2592,150,us-east,4,8,Azure,D4s_v3,0.1864,High,134.21
ERP,74559,580,346,asia-south,4,8,Azure,D4s_v3,0.1957,High,140.9
CRM,49615,709,211,us-west,4,8,AWS,m5.xlarge,0.194,Medium,139.68
ERP,23231,1240,217,us-west,2,4,GCP,e2-medium,0.0337,Medium,24.26
CRM,18299,1930,95,us-east,2,4,AWS,t3.medium,0.042,Medium,30.24
CRM,67344,719,55,asia-south,4,8,AWS,m5.xlarge,0.1917,High,138.02
News Portal,146225,3266,98,us-east,8,16,GCP,n2-standard-8,0.3957,High,284.9
Banking,51230,950,347,us-west,4,8,GCP,n2-standard-4,0.1977,High,142.34
Streaming,73499,12623,1094,us-east,4,8,GCP,n2-standard-4,0.1936,High,139.39
Portfolio,357,20,3,us-west,1,2,GCP,e2-small,0.0171,Low,12.31
Blog,964,144,50,us-east,1,2,Azure,B2s,0.0502,Low,36.14
Streaming,236905,12625,4877,us-east,8,16,Azure,F4s_v2,0.168,High,120.96
Banking,24192,2685,749,us-east,2,4,GCP,e2-medium,0.0331,Medium,23.83
Portfolio,659,14,3,us-east,1,2,AWS,t3.small,0.0206,Low,14.83
CRM,49680,1005,128,asia-south,4,8,Azure,D4s_v3,0.1875,Medium,135.0
Blog,3060,115,28,us-west,2,4,AWS,t3.medium,0.0411,Low,29.59
Blog,2656,102,19,asia-south,1,2,Azure,B2s,0.0497,Low,35.78
Portfolio,1095,38,2,us-east,1,2,AWS,t3.small,0.0207,Low,14.9
Blog,4587,108,6,us-west,2,4,AWS,t3.medium,0.0424,Low,30.53
ERP,91280,1540,490,us-west,4,8,AWS,m5.xlarge,0.1873,High,134.86
Blog,8207,48,26,us-east,2,4,GCP,e2-medium,0.0321,Medium,23.11
Banking,92328,3432,608,us-west,4,8,AWS,m5.xlarge,0.1917,High,138.02
Blog,6927,130,19,us-east,2,4,GCP,e2-medium,0.0321,Medium,23.11
Social Media,351247,5307,1637,us-west,16,32,AWS,c5.2xlarge,0.3423,High,246.46
ERP,14574,2263,161,us-west,2,4,GCP,e2-medium,0.0339,Medium,24.41
Healthcare,22580,504,443,us-west,2,4,AWS,t3.medium,0.0424,Medium,30.53
Social Media,364527,12949,2271,us-east,16,32,Azure,F4s_v2,0.164,High,118.08
Streaming,118903,2303,506,us-west,8,16,AWS,c5.2xlarge,0.3345,High,240.84
Healthcare,14588,1480,121,us-west,2,4,Azure,B2s,0.0499,Medium,35.93
E-Commerce,12174,2775,360,asia-south,2,4,AWS,t3.medium,0.0422,Medium,30.38
Healthcare,70663,1668,441,us-east,4,8,AWS,m5.xlarge,0.1952,High,140.54
Healthcare,83072,2024,335,asia-south,4,8,GCP,n2-standard-4,0.1894,High,136.37
Blog,5514,68,48,asia-south,2,4,Azure,B2s,0.0514,Medium,37.01
Healthcare,8142,2269,121,us-west,2,4,Azure,B2s,0.051,Medium,36.72
News Portal,14946,1095,61,us-east,2,4,Azure,B2s,0.0507,Medium,36.5
CRM,59735,1700,74,asia-south,4,8,AWS,m5.xlarge,0.1914,High,137.81
Portfolio,1600,18,10,us-west,1,2,GCP,e2-small,0.0171,Low,12.31
Banking,144596,4796,612,us-west,8,16,AWS,c5.2xlarge,0.3497,High,251.78
Blog,9313,172,18,asia-south,2,4,AWS,t3.medium,0.0426,Medium,30.67
CRM,56214,1544,79,us-west,4,8,GCP,n2-standard-4,0.1971,High,141.91
ERP,147102,966,308,asia-south,8,16,AWS,c5.2xlarge,0.341,High,245.52
Social Media,268057,18552,1943,us-east,16,32,AWS,c5.2xlarge,0.3341,High,240.55
Social Media,448500,12574,2222,asia-south,16,32,GCP,n2-standard-8,0.3871,High,278.71
News Portal,16992,3071,59,us-west,2,4,GCP,e2-medium,0.0334,Medium,24.05
News Portal,105089,2936,152,us-east,8,16,GCP,n2-standard-8,0.3811,High,274.39
Social Media,301177,6253,2057,us-west,16,32,GCP,n2-standard-8,0.3935,High,283.32
E-Commerce,73682,480,56,us-west,4,8,GCP,n2-standard-4,0.1899,High,136.73
E-Commerce,98655,4199,130,us-west,4,8,AWS,m5.xlarge,0.1927,High,138.74
Portfolio,1582,45,9,asia-south,1,2,AWS,t3.small,0.0209,Low,15.05
CRM,63645,516,211,us-east,4,8,Azure,D4s_v3,0.1948,High,140.26
Banking,65254,3381,530,us-west,4,8,AWS,m5.xlarge,0.1903,High,137.02
Portfolio,1054,38,4,asia-south,1,2,Azure,B2s,0.0512,Low,36.86
Portfolio,1192,19,1,us-east,1,2,Azure,B2s,0.0487,Low,35.06
Healthcare,84122,2016,366,us-west,4,8,AWS,m5.xlarge,0.196,High,141.12
News Portal,102315,1045,115,us-east,8,16,AWS,c5.2xlarge,0.347,High,249.84
CRM,76909,618,155,us-east,4,8,AWS,m5.xlarge,0.1877,High,135.14
Blog,4763,119,35,us-west,2,4,AWS,t3.medium,0.0426,Low,30.67
News Portal,14258,3761,147,us-west,2,4,GCP,e2-medium,0.0331,Medium,23.83
Social Media,399174,14692,2340,us-east,16,32,AWS,c5.2xlarge,0.3344,High,240.77
Blog,9694,106,36,us-west,2,4,GCP,e2-medium,0.0326,Medium,23.47
Blog,1876,128,24,us-west,1,2,AWS,t3.small,0.021,Low,15.12
Healthcare,10955,1638,442,us-west,2,4,GCP,e2-medium,0.0337,Medium,24.26
Streaming,480454,15178,2197,us-west,16,32,GCP,n2-standard-8,0.3987,High,287.06
ERP,33436,2563,124,us-west,4,8,GCP,n2-standard-4,0.1882,Medium,135.5
Banking,64921,1700,116,us-west,4,8,AWS,m5.xlarge,0.1975,High,142.2
Portfolio,375,27,9,us-east,1,2,Azure,B2s,0.051,Low,36.72
Streaming,274669,12855,2252,us-east,16,32,GCP,n2-standard-8,0.3824,High,275.33
Banking,194419,4406,593,us-east,8,16,GCP,n2-standard-8,0.3775,High,271.8
ERP,14830,1319,150,asia-south,2,4,AWS,t3.medium,0.0417,Medium,30.02
Banking,190227,4440,210,us-west,8,16,Azure,F4s_v2,0.1692,High,121.82
E-Commerce,59484,1082,240,us-west,4,8,AWS,m5.xlarge,0.1954,High,140.69
Social Media,271913,6036,551,asia-south,16,32,AWS,c5.2xlarge,0.3486,High,250.99
Blog,2852,87,47,us-east,1,2,AWS,t3.small,0.0206,Low,14.83
E-Commerce,54145,2576,222,us-east,4,8,AWS,m5.xlarge,0.1955,High,140.76
Portfolio,1447,8,6,us-east,1,2,Azure,B2s,0.0514,Low,37.01
News Portal,13218,4355,59,asia-south,2,4,GCP,e2-medium,0.0339,Medium,24.41
News Portal,149326,1910,195,asia-south,8,16,AWS,c5.2xlarge,0.3431,High,247.03
Banking,115240,4253,342,us-west,8,16,Azure,F4s_v2,0.1717,High,123.62
Social Media,270772,5427,1769,us-west,16,32,Azure,F4s_v2,0.1664,High,119.81
Blog,6918,74,5,us-east,2,4,GCP,e2-medium,0.034,Medium,24.48
CRM,37601,1277,106,asia-south,4,8,Azure,D4s_v3,0.1883,Medium,135.58
Portfolio,156,6,10,us-west,1,2,GCP,e2-small,0.0174,Low,12.53
CRM,34281,840,90,asia-south,4,8,GCP,n2-standard-4,0.1993,Medium,143.5
CRM,34625,236,175,us-east,4,8,GCP,n2-standard-4,0.1931,Medium,139.03
CRM,18940,1096,195,us-west,2,4,GCP,e2-medium,0.0323,Medium,23.26
Healthcare,46168,1311,311,us-west,4,8,Azure,D4s_v3,0.1912,Medium,137.66
Healthcare,25002,2297,417,us-east,2,4,Azure,B2s,0.0495,Medium,35.64
ERP,104169,908,367,us-west,8,16,AWS,c5.2xlarge,0.3363,High,242.14
Healthcare,25547,795,272,asia-south,2,4,AWS,t3.medium,0.0405,Medium,29.16
Banking,95801,3811,157,us-east,4,8,Azure,D4s_v3,0.1913,High,137.74
E-Commerce,21697,2246,69,us-west,2,4,Azure,B2s,0.0506,Medium,36.43
ERP,85227,659,290,us-east,4,8,AWS,m5.xlarge,0.1958,High,140.98
Banking,128386,1336,288,us-west,8,16,Azure,F4s_v2,0.1647,High,118.58
Blog,6545,152,41,asia-south,2,4,Azure,B2s,0.0498,Medium,35.86
Portfolio,1791,21,2,us-west,1,2,AWS,t3.small,0.0203,Low,14.62
Social Media,466085,6439,2576,us-east,16,32,GCP,n2-standard-8,0.3814,High,274.61
Portfolio,789,9,7,us-east,1,2,Azure,B2s,0.0488,Low,35.14
Healthcare,10694,2421,158,asia-south,2,4,AWS,t3.medium,0.0404,Medium,29.09
E-Commerce,33509,4944,115,us-west,4,8,Azure,D4s_v3,0.187,Medium,134.64
Social Media,310101,10630,1628,us-west,16,32,AWS,c5.2xlarge,0.3498,High,251.86
News Portal,13819,4981,192,us-west,2,4,Azure,B2s,0.0509,Medium,36.65
ERP,119126,839,267,us-west,8,16,Azure,F4s_v2,0.1696,High,122.11
Banking,112474,3145,949,us-west,8,16,Azure,F4s_v2,0.1688,High,121.54
CRM,44681,820,89,us-west,4,8,AWS,m5.xlarge,0.1926,Medium,138.67
E-Commerce,25980,2326,405,asia-south,2,4,Azure,B2s,0.0514,Medium,37.01
E-Commerce,37907,4596,328,us-west,4,8,AWS,m5.xlarge,0.1929,Medium,138.89
Healthcare,30086,488,225,us-west,4,8,Azure,D4s_v3,0.1917,Medium,138.02
Banking,71526,4284,178,us-west,4,8,GCP,n2-standard-4,0.1947,High,140.18
Streaming,71785,9417,1103,us-east,4,8,GCP,n2-standard-4,0.1924,High,138.53
Blog,9232,28,49,us-east,2,4,AWS,t3.medium,0.0417,Medium,30.02
Healthcare,94003,1759,423,us-west,4,8,Azure,D4s_v3,0.1875,High,135.0
Blog,4818,51,43,us-east,2,4,AWS,t3.medium,0.0411,Low,29.59
ERP,117155,526,296,asia-south,8,16,AWS,c5.2xlarge,0.3412,High,245.66
Portfolio,640,34,2,us-west,1,2,GCP,e2-small,0.0165,Low,11.88
Social Media,317722,5067,917,asia-south,16,32,AWS,c5.2xlarge,0.3447,High,248.18
News Portal,37819,2783,146,us-west,4,8,GCP,n2-standard-4,0.1944,Medium,139.97
News Portal,42490,2688,174,us-west,4,8,AWS,m5.xlarge,0.1873,Medium,134.86
Social Media,309517,7927,1685,us-west,16,32,Azure,F4s_v2,0.1687,High,121.46
Portfolio,551,21,2,asia-south,1,2,AWS,t3.small,0.0214,Low,15.41
Blog,3744,37,38,us-east,2,4,GCP,e2-medium,0.0324,Low,23.33
Blog,9713,182,11,us-west,2,4,AWS,t3.medium,0.0424,Medium,30.53
Portfolio,800,10,4,us-east,1,2,GCP,e2-small,0.0173,Low,12.46
Streaming,383542,5795,4144,us-west,16,32,GCP,n2-standard-8,0.3985,High,286.92
News Portal,5583,2737,129,asia-south,2,4,AWS,t3.medium,0.0407,Medium,29.3
Portfolio,1128,28,7,us-west,1,2,AWS,t3.small,0.0208,Low,14.98
News Portal,77060,591,148,us-east,4,8,Azure,D4s_v3,0.1873,High,134.86
Blog,5348,189,37,us-west,2,4,AWS,t3.medium,0.0412,Medium,29.66
Social Media,131505,3267,589,us-west,8,16,Azure,F4s_v2,0.1663,High,119.74
Blog,4803,110,29,asia-south,2,4,GCP,e2-medium,0.033,Low,23.76
Streaming,298408,6100,1749,asia-south,16,32,Azure,F4s_v2,0.1715,High,123.48
Streaming,396760,17479,2701,asia-south,16,32,AWS,c5.2xlarge,0.3456,High,248.83
Portfolio,1031,22,1,us-east,1,2,Azure,B2s,0.0507,Low,36.5
ERP,127894,1587,232,us-east,8,16,Azure,F4s_v2,0.1646,High,118.51
News Portal,142694,3884,50,asia-south,8,16,Azure,F4s_v2,0.1736,High,124.99
ERP,74731,2992,154,us-east,4,8,Azure,D4s_v3,0.1928,High,138.82
ERP,113070,1683,145,us-west,8,16,Azure,F4s_v2,0.1703,High,122.62
Healthcare,44381,490,102,asia-south,4,8,AWS,m5.xlarge,0.1887,Medium,135.86
Healthcare,7217,1118,185,us-east,2,4,AWS,t3.medium,0.0404,Medium,29.09
Banking,101905,2414,166,asia-south,8,16,Azure,F4s_v2,0.1672,High,120.38
Social Media,43841,12392,2502,us-east,4,8,Azure,D4s_v3,0.1945,Medium,140.04
Healthcare,36645,558,450,us-west,4,8,AWS,m5.xlarge,0.1965,Medium,141.48
Portfolio,266,6,9,us-east,1,2,AWS,t3.small,0.0204,Low,14.69
Healthcare,89411,1561,251,asia-south,4,8,AWS,m5.xlarge,0.1949,High,140.33
Blog,3215,102,19,us-west,2,4,GCP,e2-medium,0.0327,Low,23.54
Portfolio,895,23,1,asia-south,1,2,GCP,e2-small,0.0167,Low,12.02
CRM,62778,795,293,asia-south,4,8,Azure,D4s_v3,0.1951,High,140.47
Healthcare,65801,2655,253,us-west,4,8,AWS,m5.xlarge,0.1881,High,135.43
Social Media,218480,18000,2920,asia-south,8,16,GCP,n2-standard-8,0.3853,High,277.42
Social Media,152291,17933,784,us-west,8,16,Azure,F4s_v2,0.167,High,120.24
Portfolio,1939,46,4,asia-south,1,2,AWS,t3.small,0.0209,Low,15.05
Blog,915,33,34,us-east,1,2,GCP,e2-small,0.0172,Low,12.38
Banking,11029,1088,555,us-west,2,4,AWS,t3.medium,0.0419,Medium,30.17
ERP,135952,1782,393,asia-south,8,16,GCP,n2-standard-8,0.3771,High,271.51
CRM,30856,1856,101,us-east,4,8,AWS,m5.xlarge,0.1973,Medium,142.06
Portfolio,1009,38,2,us-east,1,2,GCP,e2-small,0.0173,Low,12.46
Blog,7747,47,41,asia-south,2,4,AWS,t3.medium,0.0404,Medium,29.09
Healthcare,11825,349,242,us-east,2,4,Azure,B2s,0.0498,Medium,35.86
Portfolio,448,10,5,us-east,1,2,AWS,t3.small,0.0206,Low,14.83
CRM,16289,1859,141,us-east,2,4,AWS,t3.medium,0.0413,Medium,29.74
News Portal,115853,3867,121,us-east,8,16,AWS,c5.2xlarge,0.3345,High,240.84
ERP,71156,2625,255,us-east,4,8,Azure,D4s_v3,0.1969,High,141.77
News Portal,111733,3005,145,asia-south,8,16,AWS,c5.2xlarge,0.3392,High,244.22
E-Commerce,34990,4849,105,asia-south,4,8,Azure,D4s_v3,0.195,Medium,140.4
Portfolio,1776,18,4,us-west,1,2,GCP,e2-small,0.0166,Low,11.95
ERP,10330,726,259,asia-south,2,4,GCP,e2-medium,0.0334,Medium,24.05
News Portal,52215,3351,153,us-west,4,8,Azure,D4s_v3,0.1904,High,137.09
ERP,111165,957,478,asia-south,8,16,Azure,F4s_v2,0.1712,High,123.26
Banking,179763,4238,341,us-east,8,16,GCP,n2-standard-8,0.3787,High,272.66
Banking,66742,2985,881,asia-south,4,8,AWS,m5.xlarge,0.1966,High,141.55
E-Commerce,40788,4349,303,us-east,4,8,GCP,n2-standard-4,0.1958,Medium,140.98
E-Commerce,30700,4788,471,us-west,4,8,AWS,m5.xlarge,0.1865,Medium,134.28
Social Media,217192,11799,1497,asia-south,8,16,AWS,c5.2xlarge,0.3464,High,249.41
News Portal,45221,4125,149,asia-south,4,8,AWS,m5.xlarge,0.1874,Medium,134.93
Banking,184006,1257,367,us-west,8,16,AWS,c5.2xlarge,0.3446,High,248.11
Blog,4455,90,41,asia-south,2,4,Azure,B2s,0.049,Low,35.28
Blog,8390,175,29,us-west,2,4,Azure,B2s,0.0504,Medium,36.29
Portfolio,981,5,6,asia-south,1,2,GCP,e2-small,0.0172,Low,12.38
Social Media,356112,4318,2456,asia-south,16,32,GCP,n2-standard-8,0.3833,High,275.98
ERP,93736,2394,411,us-west,4,8,GCP,n2-standard-4,0.1961,High,141.19
Blog,2489,119,13,us-east,1,2,Azure,B2s,0.0498,Low,35.86
Portfolio,905,49,10,asia-south,1,2,GCP,e2-small,0.0165,Low,11.88
News Portal,54277,3239,117,us-west,4,8,Azure,D4s_v3,0.1869,High,134.57
CRM,57513,627,259,us-west,4,8,Azure,D4s_v3,0.1958,High,140.98
Social Media,383835,15675,563,us-west,16,32,GCP,n2-standard-8,0.3858,High,277.78
CRM,47946,938,174,us-east,4,8,GCP,n2-standard-4,0.1939,Medium,139.61
ERP,72216,1526,438,asia-south,4,8,GCP,n2-standard-4,0.1994,High,143.57
Banking,192350,1311,841,us-west,8,16,GCP,n2-standard-8,0.3937,High,283.46
Healthcare,57105,2588,177,us-west,4,8,Azure,D4s_v3,0.1959,High,141.05
Streaming,116135,3794,3197,us-east,8,16,AWS,c5.2xlarge,0.3473,High,250.06
News Portal,50517,3390,63,asia-south,4,8,Azure,D4s_v3,0.1932,High,139.1
Portfolio,1465,10,2,us-west,1,2,AWS,t3.small,0.021,Low,15.12
Portfolio,270,25,7,asia-south,1,2,AWS,t3.small,0.0211,Low,15.19
Healthcare,14229,2597,335,us-east,2,4,Azure,B2s,0.0507,Medium,36.5
Social Media,155225,9269,2606,us-east,8,16,AWS,c5.2xlarge,0.3405,High,245.16
E-Commerce,16497,2092,50,asia-south,2,4,AWS,t3.medium,0.0417,Medium,30.02
Social Media,288432,5585,1291,us-east,16,32,GCP,n2-standard-8,0.3768,High,271.3
CRM,54213,1904,196,us-east,4,8,Azure,D4s_v3,0.1925,High,138.6
Portfolio,1665,48,9,asia-south,1,2,Azure,B2s,0.0499,Low,35.93
Healthcare,67661,723,200,us-east,4,8,GCP,n2-standard-4,0.1937,High,139.46
ERP,29287,751,235,asia-south,2,4,GCP,e2-medium,0.0323,Medium,23.26
CRM,74366,455,176,us-west,4,8,Azure,D4s_v3,0.1876,High,135.07
Banking,174651,2507,743,asia-south,8,16,GCP,n2-standard-8,0.3951,High,284.47
Streaming,216204,15729,1075,us-west,8,16,AWS,c5.2xlarge,0.3493,High,251.5
E-Commerce,21573,788,445,us-east,2,4,GCP,e2-medium,0.0323,Medium,23.26
Social Media,91414,5577,585,asia-south,4,8,GCP,n2-standard-4,0.1963,High,141.34
ERP,31393,2655,472,us-west,4,8,GCP,n2-standard-4,0.1979,Medium,142.49
CRM,20933,1184,148,us-west,2,4,Azure,B2s,0.0502,Medium,36.14
ERP,17616,1137,197,us-west,2,4,GCP,e2-medium,0.0323,Medium,23.26
CRM,20252,1613,210,us-west,2,4,Azure,B2s,0.0495,Medium,35.64
News Portal,67583,3669,179,us-east,4,8,AWS,m5.xlarge,0.1874,High,134.93
Streaming,378034,4166,3890,asia-south,16,32,GCP,n2-standard-8,0.3929,High,282.89
Banking,123913,2743,115,us-west,8,16,AWS,c5.2xlarge,0.3419,High,246.17
ERP,48624,1422,500,asia-south,4,8,GCP,n2-standard-4,0.1933,Medium,139.18
Blog,9864,78,47,us-east,2,4,GCP,e2-medium,0.0324,Medium,23.33
Streaming,123354,19486,1722,asia-south,8,16,Azure,F4s_v2,0.1724,High,124.13
Healthcare,64534,616,189,asia-south,4,8,GCP,n2-standard-4,0.1965,High,141.48
News Portal,68019,3977,199,us-west,4,8,Azure,D4s_v3,0.1966,High,141.55
News Portal,89116,1555,97,asia-south,4,8,Azure,D4s_v3,0.1939,High,139.61
E-Commerce,85596,3595,439,us-east,4,8,AWS,m5.xlarge,0.1921,High,138.31
CRM,44489,1600,183,us-west,4,8,Azure,D4s_v3,0.1943,Medium,139.9
ERP,122513,2720,322,us-west,8,16,GCP,n2-standard-8,0.3778,High,272.02
Blog,2402,39,24,asia-south,1,2,GCP,e2-small,0.0169,Low,12.17
ERP,67877,689,318,us-east,4,8,AWS,m5.xlarge,0.1905,High,137.16
Portfolio,1339,50,9,us-east,1,2,AWS,t3.small,0.0204,Low,14.69
Streaming,344612,18373,4423,asia-south,16,32,AWS,c5.2xlarge,0.3352,High,241.34
Streaming,216337,13394,957,us-west,8,16,AWS,c5.2xlarge,0.3364,High,242.21
Healthcare,96566,883,499,us-east,4,8,Azure,D4s_v3,0.1893,High,136.3
Social Media,271086,2708,1203,us-west,16,32,AWS,c5.2xlarge,0.3315,High,238.68
Streaming,352580,5210,1744,us-west,16,32,GCP,n2-standard-8,0.3822,High,275.18
CRM,56140,682,169,us-east,4,8,GCP,n2-standard-4,0.1907,High,137.3
Blog,7257,65,30,us-west,2,4,AWS,t3.medium,0.0428,Medium,30.82
Portfolio,543,14,4,us-east,1,2,AWS,t3.small,0.0206,Low,14.83
Social Media,175690,3374,2692,asia-south,8,16,AWS,c5.2xlarge,0.33,High,237.6
Portfolio,458,44,6,us-west,1,2,Azure,B2s,0.051,Low,36.72
News Portal,133373,4037,108,us-west,8,16,GCP,n2-standard-8,0.3897,High,280.58
Banking,159749,2102,716,us-east,8,16,AWS,c5.2xlarge,0.3415,High,245.88
Streaming,306305,12349,3336,asia-south,16,32,AWS,c5.2xlarge,0.3483,High,250.78
News Portal,43285,2287,165,us-west,4,8,Azure,D4s_v3,0.1914,Medium,137.81
Blog,1704,36,35,us-east,1,2,AWS,t3.small,0.0212,Low,15.26
ERP,112632,2367,106,asia-south,8,16,GCP,n2-standard-8,0.3767,High,271.22
Social Media,243187,5863,1954,us-west,8,16,Azure,F4s_v2,0.1739,High,125.21
Banking,123007,1352,205,us-west,8,16,GCP,n2-standard-8,0.3799,High,273.53
Streaming,341300,11557,1813,us-west,16,32,AWS,c5.2xlarge,0.3349,High,241.13
ERP,18029,559,378,us-west,2,4,Azure,B2s,0.0498,Medium,35.86
Streaming,258626,10167,762,us-west,16,32,GCP,n2-standard-8,0.3837,High,276.26
Social Media,386700,5789,2867,asia-south,16,32,GCP,n2-standard-8,0.3914,High,281.81
E-Commerce,87349,2270,376,us-west,4,8,GCP,n2-standard-4,0.1908,High,137.38
E-Commerce,72014,4020,164,us-east,4,8,Azure,D4s_v3,0.1957,High,140.9
E-Commerce,19500,522,291,asia-south,2,4,Azure,B2s,0.0494,Medium,35.57
Social Media,295127,7642,840,us-east,16,32,GCP,n2-standard-8,0.3947,High,284.18
Banking,70169,3996,461,us-east,4,8,AWS,m5.xlarge,0.1931,High,139.03
CRM,76403,914,88,us-west,4,8,Azure,D4s_v3,0.1879,High,135.29
Portfolio,1066,13,1,us-east,1,2,GCP,e2-small,0.0173,Low,12.46
News Portal,122752,384,190,us-east,8,16,GCP,n2-standard-8,0.3985,High,286.92
E-Commerce,76404,4049,179,asia-south,4,8,GCP,n2-standard-4,0.1958,High,140.98
Blog,7657,194,50,us-west,2,4,GCP,e2-medium,0.032,Medium,23.04
Banking,170713,4021,880,us-west,8,16,Azure,F4s_v2,0.166,High,119.52
ERP,113693,1836,133,us-west,8,16,Azure,F4s_v2,0.1728,High,124.42
News Portal,90783,3095,134,asia-south,4,8,AWS,m5.xlarge,0.1917,High,138.02
Portfolio,137,28,2,us-east,1,2,AWS,t3.small,0.0214,Low,15.41
Social Media,80200,10947,2702,asia-south,4,8,GCP,n2-standard-4,0.1908,High,137.38
CRM,21894,463,159,asia-south,2,4,GCP,e2-medium,0.0323,Medium,23.26
E-Commerce,32261,590,56,asia-south,4,8,AWS,m5.xlarge,0.1907,Medium,137.3
Healthcare,6407,2050,168,us-west,2,4,Azure,B2s,0.0512,Medium,36.86
ERP,94472,656,178,us-west,4,8,Azure,D4s_v3,0.1902,High,136.94
Social Media,141065,1092,1279,us-west,8,16,AWS,c5.2xlarge,0.3351,High,241.27
CRM,23657,1996,259,asia-south,2,4,Azure,B2s,0.05,Medium,36.0
CRM,30885,1135,134,us-west,4,8,GCP,n2-standard-4,0.1892,Medium,136.22
ERP,40075,2280,492,us-east,4,8,AWS,m5.xlarge,0.1944,Medium,139.97
E-Commerce,78433,446,492,us-west,4,8,AWS,m5.xlarge,0.196,High,141.12
Blog,7308,121,19,us-west,2,4,AWS,t3.medium,0.0407,Medium,29.3
Healthcare,60872,2707,297,us-west,4,8,AWS,m5.xlarge,0.1907,High,137.3
Social Media,267068,11012,537,us-west,16,32,GCP,n2-standard-8,0.3855,High,277.56
ERP,10376,1541,291,us-west,2,4,Azure,B2s,0.0505,Medium,36.36
CRM,13424,238,149,us-east,2,4,AWS,t3.medium,0.0427,Medium,30.74
Healthcare,56244,1280,397,us-east,4,8,GCP,n2-standard-4,0.1963,High,141.34
Portfolio,162,48,9,us-west,1,2,AWS,t3.small,0.0209,Low,15.05
CRM,48422,1331,57,us-east,4,8,Azure,D4s_v3,0.1971,Medium,141.91
Streaming,432136,5112,4512,asia-south,16,32,AWS,c5.2xlarge,0.3353,High,241.42
CRM,23704,1388,292,asia-south,2,4,GCP,e2-medium,0.0332,Medium,23.9
E-Commerce,72597,229,350,us-west,4,8,Azure,D4s_v3,0.1897,High,136.58
CRM,17568,443,141,us-east,2,4,AWS,t3.medium,0.0428,Medium,30.82
Streaming,478928,2595,3841,us-east,16,32,Azure,F4s_v2,0.1675,High,120.6
News Portal,113973,1008,99,asia-south,8,16,Azure,F4s_v2,0.1699,High,122.33
Streaming,488544,7322,3214,us-east,16,32,AWS,c5.2xlarge,0.3359,High,241.85
E-Commerce,96505,2203,406,asia-south,4,8,AWS,m5.xlarge,0.187,High,134.64
E-Commerce,91593,4727,74,us-east,4,8,GCP,n2-standard-4,0.1922,High,138.38
Social Media,459066,18964,1290,us-east,16,32,GCP,n2-standard-8,0.3829,High,275.69
Banking,176713,2991,340,asia-south,8,16,GCP,n2-standard-8,0.3911,High,281.59
CRM,12505,1632,267,asia-south,2,4,GCP,e2-medium,0.0339,Medium,24.41
CRM,70135,1028,94,us-east,4,8,Azure,D4s_v3,0.1901,High,136.87
Streaming,441198,8503,3482,us-east,16,32,AWS,c5.2xlarge,0.3312,High,238.46
Blog,1924,49,26,us-west,1,2,AWS,t3.small,0.0206,Low,14.83
E-Commerce,47549,2816,309,us-west,4,8,AWS,m5.xlarge,0.1907,Medium,137.3
Healthcare,28799,2096,328,us-east,2,4,GCP,e2-medium,0.0323,Medium,23.26
Social Media,309492,18639,1225,asia-south,16,32,GCP,n2-standard-8,0.3893,High,280.3
Portfolio,552,10,8,us-east,1,2,Azure,B2s,0.0511,Low,36.79
Social Media,328051,1612,1474,asia-south,16,32,GCP,n2-standard-8,0.3979,High,286.49
CRM,52021,1843,281,asia-south,4,8,AWS,m5.xlarge,0.1931,High,139.03
Social Media,23666,16430,982,us-west,2,4,AWS,t3.medium,0.0423,Medium,30.46
Social Media,246369,3208,1767,asia-south,8,16,GCP,n2-standard-8,0.377,High,271.44
E-Commerce,28342,2003,238,asia-south,2,4,Azure,B2s,0.0509,Medium,36.65
Streaming,412878,11667,3485,us-west,16,32,GCP,n2-standard-8,0.3792,High,273.02
E-Commerce,10923,2870,427,asia-south,2,4,GCP,e2-medium,0.0337,Medium,24.26
Streaming,345452,15328,4128,us-east,16,32,AWS,c5.2xlarge,0.3502,High,252.14
Banking,140003,1223,209,us-east,8,16,Azure,F4s_v2,0.1643,High,118.3
ERP,127758,2926,380,us-west,8,16,GCP,n2-standard-8,0.3918,High,282.1
Portfolio,1551,24,6,us-west,1,2,AWS,t3.small,0.0208,Low,14.98
Healthcare,23716,2011,228,us-east,2,4,GCP,e2-medium,0.0321,Medium,23.11
Blog,1937,119,5,us-east,1,2,GCP,e2-small,0.0165,Low,11.88
News Portal,98492,4546,196,us-east,4,8,GCP,n2-standard-4,0.1895,High,136.44
Portfolio,1734,11,6,us-west,1,2,AWS,t3.small,0.0211,Low,15.19
E-Commerce,28794,1152,447,us-west,2,4,AWS,t3.medium,0.0428,Medium,30.82
ERP,109330,2636,404,us-east,8,16,GCP,n2-standard-8,0.379,High,272.88
